Nama Connector,Name,COnnector or Not,Gender,Following,Follower,Total Tweet,Pekerjaan,Career_Group
arie_parewa,,0,M,303,169,6641,,
aradityarian,,0,M,1433,2410,25258,,
antopoetra7siak,,0,M,6,2,6,,
angg12ia,,0,F,354,160,1711,,
andraferdia,,0,M,102,8,672,,
andinshinta,,0,F,283,420,8611,,
andikaafadilah,,0,M,211,1382,13486,,
anamarieza,,0,F,360,290,4977,,
anakandung,,0,M,185,12,1008,,
amarialucky,,0,F,410,1579,14445,,
aleica_,,0,F,200,240,3153,,
aini_mataram,,0,F,737,157,983,,
ahtmly2k,,0,M,1416,434,15270,,
agustinuslaw,,0,M,172,135,632,,
agam5,,0,M,234,272,5557,,
afdhalmarifah,,0,F,549,681,14286,,
aeneird,,0,F,1265,818,16254,,
adityaaditya__,,0,F,1924,631,18569,,
add_old,,0,M,104,190,1460,,
1ntan,,0,F,173,173,9883,,
vqweather,1,1,M,420,423,33370,,
nagacentil,1,1,F,1378,7335,191582,,
ramadoni,1,1,M,677,1242,36704,,
lavivrie,1,1,F,2430,101345,70301,,
elsachristine,1,1,F,1175,1732,19432,,
kokoiang,1,1,M,707,711,18764,,
achmaddfadillah,1,1,M,329,324,14784,,
juliyanto,1,1,M,157,349,14331,,
theoproject,1,1,F,760,2781,12454,Kader Partai,Politics
fauzanalfi,1,1,M,1614,1900,101553,,
kuncoro,1,1,M,1229,14516,36540,,
anitangelina,1,1,F,196,508,23639,,
chihuuy_,1,1,F,528,413,24019,,
rachelarinii,1,1,F,622,1271,25203,,
odonggyu,1,1,M,248,10984,162483,,
misstitichan,0,0,F,444,238,"30,623",,
jjesssm,0,0,F,353,298,"9,641",,
christinviesta,0,0,F,301,394,"10,849",,
indahibon,0,0,F,466,719,"31,914",,
superisman,0,0,M,451,229,"9,428",,
amaziabayu,0,0,M,1293,258,"8,351",,
annelengkong,0,0,F,213,242,8791,,
trueorvalz,0,0,F,564,974,42577,,
bufo_sp,0,0,M,243,217,11415,,
oistibani,0,0,F,512,574,20538,,
akitokido,0,0,,484,445,11981,,
arionojonet,0,0,M,271,255,11133,,
kreshnarahmat,0,0,M,870,856,19858,,
annetrendy,0,0,F,351,272,5302,,
riankaslan,0,0,F,408,764,1862,,
inyomen,0,0,M,1496,658,29333,,
khalifradhian,0,0,M,1337,859,18102,,
bebek_kuning,1,1,,209,404,123137,,
sunwiches,0,0,F,352,501,33287,,
lrsamardhya,0,0,F,367,233,24634,,
cangcingcungg,0,0,F,385,356,23220,,
al_vikarr,0,0,M,86,153,3843,,
ikadekarya,0,0,M,271,333,16922,,
rabindras,0,0,M,733,421,13285,,
suciayunda,0,0,F,274,604,6388,,
yahoya,0,0,M,1614,1026,28083,,
syifarahmasy,0,0,F,140,469,35800,,
ikazain,0,0,F,1243,1949,27297,,
dhanisancok,0,0,M,1076,889,23711,,
prayudiu,0,0,M,416,216,6401,,
newrubbersm,0,0,M,610,246,13650,,
watiebae,0,0,F,211,121,1958,,
dhikaeliazar,0,0,M,182,204,6444,,
sanggaraputra,0,0,M,771,509,4502,,
holyflamechris,0,0,M,139,106,7150,,
fajarnugros,1,1,M,2703,80934,287349,,
yulieutami,0,0,F,563,145,1247,,
waygabriel,0,0,M,118,185,2246,,
paulinapungky,0,0,F,738,1811,14441,,
steviesulaiman,0,0,M,519,589,18043,,
rindanisa,0,0,F,456,445,12168,,
tionugroho,0,0,M,292,292,11364,,
sofianingrum,0,0,F,80,110,5045,,
a24kamal,0,0,M,234,297,13313,,
gintanaufal,0,0,M,919,375,1839,,
dekhangga,0,0,M,461,513,13643,,
xen5ation_mzr27,0,0,,45,36,2606,,
ayu_kartikadewi,0,0,F,791,5361,15577,,
adibaskoro,0,0,M,589,367,1331,,
harispranoto,0,0,M,436,449,5281,,
frantyozora,0,0,F,993,523,19026,,
sinaga_bonardo,0,0,F,788,83,335,,
redtitian,0,0,F,1516,1062,17481,,
abeija,0,0,F,329,203,11747,,
fajarbahtera,0,0,M,385,509,9229,,
azaleaaina,0,0,M,441,731,7174,,
khoerulfahmi_,0,0,M,127,986,15720,,
zwibawaa,0,0,M,715,296,2600,,
aganharahap,0,0,M,693,22597,11120,,
azachan91,0,0,F,417,169,5550,,
attikaaa,0,0,F,522,553,11769,,
herdissuryatna,0,0,M,1367,688,4746,,
jarfajar,0,0,M,562,341,3140,,
doniehulalata,0,0,M,1286,1324,65254,,
mfaizakbar,0,0,M,431,292,16487,,
arn_irwan,0,0,M,177,246,2800,,
_vendry_,0,0,M,154,128,1037,,
hidayatmuh_,0,0,M,1628,907,19872,,
alditama,0,1,M,"7,462",641,"52,288",,
wildanbaihaqie,0,0,M,418,729,"11,789",,
ryaank,0,0,M,352,396,"20,931",,
jooohnbonar,0,0,M,859,377,"9,661",,
clarissaicha,0,0,F,409,417,"35,052",,
retnoikas,0,1,F,396,"4,647","61,978",,
aurellio,0,0,M,380,"3,050","22,396",,
wanandita,0,0,F,563,"1,209","26,739",,
adhinatalia,0,0,F,1185,"1,380","12,136",,
fandieconomist,0,0,M,262,216,"3,581",,
yukkaharlanda,0,0,M,242,556,"1,748",,
nesatria,0,0,F,286,286,"6,384",,
ce_ce_,0,1,F,724,2482,"74,536",,
meidianahutomo,0,0,F,426,"26,298","14,711",,
erlybahsan,0,0,M,824,459,"4,311",,
baitilililii,0,0,F,197,258,"9,204",,
iskyisky,0,0,F,209,585,"9,958",,
inaintan,0,0,F,284,197,"3,635",,
puterautama,0,0,M,849,821,"25,323",,
mdluthfy,0,0,M,543,770,"34,678",,
gamaiffahindra,0,0,M,190,293,"15,027",,
andienas,0,0,F,770,1663,"23,599",,
aherwinda_,0,0,F,380,334,"11,414",,
simply_tantri,0,0,F,224,951,"15,705",,
valen_cia,0,0,F,411,262,11910,,
arimboet,0,0,M,820,428,21927,,
robsongwriter,0,0,M,488,179,3337,,
herymay,0,0,M,4110,556,15543,,
maximix,0,0,M,59,29,53,,
pindra1,0,0,M,494,252,4808,,
pepeaditya,0,0,M,222,184,4201,,
sepwabas,0,0,M,505,204,11113,,
danieliben,0,0,M,172,345,8411,,
luciastr,0,0,M,233,641,22424,,
wilibro_,0,0,M,115,750,11040,,
tedxconsdrive,0,0,,122,201,298,,
yugimang,0,0,F,563,304,12616,,
nariswaridy,0,0,F,431,495,9456,,
oliviarenanda,0,0,M,216,728,7292,,
rari_rurero,0,0,F,607,673,14020,,
bayuseptianto,0,0,M,386,349,4626,,
nandamarihero,0,0,M,319,104,1235,,
solitiol,0,0,F,633,665,10603,,
indraimans,0,0,F,386,453,14230,,
mirza3m,0,0,M,440,441,21395,,
tapaksiunta,0,0,M,162,125,5282,,
aryoanindito,0,0,M,637,687,14590,,
adit1965,0,0,M,1121,2137,18055,,
djudjur,0,1,M,1992,2552,35101,,
nadhira_al,0,0,F,84,429,13967,,
ralliry,0,0,F,182,94,4373,,
isylsylvia,0,0,F,267,329,20368,,
afwika,0,0,F,370,749,23896,,
yasaulian,0,0,F,393,497,20979,,
agungfitriyadi,0,0,M,757,123,2288,,
purizt,0,0,F,272,194,1069,,
nandaadanu,0,0,M,294,477,29534,,
justjunaedi,0,0,M,243,31,2215,,
agungpamungkass,0,0,M,820,1106,19005,,
bangfic09,0,0,M,1796,412,1999,,
missabbyss,0,0,F,136,93,1557,,
themgtasia,0,0,,338,557,5504,,
arjanti1970,0,0,F,556,293,15736,,
robjwu,0,0,M,910,1652,3045,,
boma_h,0,0,M,572,215,2891,,
